"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C17, C18","4","33uF","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm",""
"2","C3, C8, C19, C20","4","470uF","Capacitor_THT:C_Radial_D10.0mm_H12.5mm_P5.00mm",""
"3","C4, C5","2","4700uF","Kerrin:Nichicon 4700uF, 35v, 85c - D18.0mm_H35.5mm_P7.50mm",""
"4","C6, C9","2","0.1uF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"5","C7, C11","2","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"6","C10, C13","2","22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"7","D1, D2, D12, D13","4","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"8","D3","1","L Rectifier","Diode_THT:Diode_Bridge_Vishay_KBPC1",""
"9","D4","1","R Rectifier","Diode_THT:Diode_Bridge_Vishay_KBPC1",""
"10","D5, D6, D7, D8","4","1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"11","D9","1","PWR_LED","Kerrin:FrontPanel_LED_D3.0mm_Horizontal_O1.27mm_Z6.0mm",""
"12","F1, F2, F3","3","Fuse","Kerrin:Amazon_Fuseholder-5x20mm_Littelfuse_111_Inline_P20.00x5.00mm_D1.05mm",""
"13","J1","1","Signal In","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm",""
"14","J2","1","Signal Output","Kerrin:NMJ6HC-S",""
"15","J3","1","Mains Input","Connector_Wire:SolderWire-0.75sqmm_1x02_P7mm_D1.25mm_OD3.5mm",""
"16","Q1, Q3","2","2SC1815","Package_TO_SOT_THT:TO-92_Inline_Wide",""
"17","R1, R2, R12, R13","4","10K","Kerrin:Resistor_Axial_0.25W_L6.3mm_D2.5mm_P10.16mm",""
"18","R3, R14","2","15K","Kerrin:Resistor_Axial_0.25W_L6.3mm_D2.5mm_P10.16mm",""
"19","R4, R7","2","R240","Kerrin:Resistor_Axial_0.25W_L6.3mm_D2.5mm_P10.16mm",""
"20","R5, R6","2","5K","Kerrin:Potentiometer_Bourns_3296W_Vertical",""
"21","R8","1","2K","Kerrin:Resistor_Axial_0.25W_L6.3mm_D2.5mm_P10.16mm",""
"22","R9, R10","2","1K","Kerrin:Resistor_Axial_0.25W_L6.3mm_D2.5mm_P10.16mm",""
"23","R11, R15","2","1R","Kerrin:Resistor_Axial_0.25W_L6.3mm_D2.5mm_P10.16mm",""
"24","RV3, RV4, RV11, RV12","4","10K","Kerrin:Potentiometer_Bourns_3296W_Vertical",""
"25","RV7","1","Dual 100K Vol Pot","Kerrin:Dual_Potentiometer_Horizontal",""
"26","T1","1","Myrra_41176_15v_10VA_Transformer","Kerrin:Myrra_44274_15v_10VA_Transformer",""
"27","U1, U2, U7, U8","4","TIP31C","Kerrin:TO-220-3_Horizontal_TabUp_FlatLegs",""
"28","U3, U4","2","LM317","Kerrin:TO-220-3_Horizontal_TabUp_FlatLegs",""
